# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 5e+07, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r 
          0.001         63.4449         0.62347         1.52276 
          0.001           39.57        0.388852          1.3914 
          0.001         23.6426        0.232335         1.21147 
          0.001         11.6452        0.114437        0.971482 
          0.001          50.105        0.492379          1.4655 
          0.001          6.9579       0.0683749        0.813569 
          0.001         83.8594        0.824082         1.54694 
          0.001         14.4326        0.141828         1.04174 
          0.001         19.0765        0.187464         1.13656 
          0.001         30.5865        0.300572         1.30246 
          0.001         24.1554        0.237374         1.21905 
          0.001         40.4283        0.397287         1.39847 
          0.001         64.8211        0.636994          1.5266 
          0.001         51.1918         0.50306         1.47153 
          0.001         14.7457        0.144905         1.04889 
          0.001         19.4903         0.19153         1.14398 
          0.001         85.6784        0.841957         1.54607 
          0.001         24.6794        0.242523         1.22669 
          0.001           31.25        0.307092         1.31002 
          0.001         41.3052        0.405904         1.40557 
          0.001         15.0655        0.148048         1.05611 
          0.001         66.2271        0.650811         1.53019 
          0.001         52.3023        0.513972         1.47752 
          0.001         87.5368         0.86022         1.54473 
          0.001         25.2147        0.247784         1.23424 
          0.001         31.9278        0.313753         1.31756 
          0.001         42.2012        0.414709         1.41263 
          0.001         67.6637        0.664927          1.5335 
          0.001         53.4367         0.52512         1.48333 
          0.001         32.6204        0.320559         1.32506 
          0.001         89.4356        0.878879         1.54291 
          0.001         54.5958        0.536511         1.48899 
          0.001         69.1314         0.67935         1.53655 
          0.001         91.3756        0.897943         1.54065 
          0.001         70.6309        0.694086         1.53921 
